window_0,window_1,window_2,window_3,predicted_cluster,title
-0.946596236381,0.456547515275,0.573536376331,-1.22993455325,1.0,10-Things-I-Hate-About-You
-0.156453575516,1.17845146205,-0.541250622503,1.00980508545,2.0,12-and-Holding
-1.14826579319,0.0117026464074,1.18645621423,-1.81485502593,1.0,12-Monkeys
-1.71470250437,0.353084882983,-0.119267164525,0.822893047887,2.0,12-Years-a-Slave
-0.769154541982,0.50685621744,1.02504090564,-2.63780399145,1.0,127-Hours
-1.01112168586,-0.0383871009734,1.01213472938,-1.46965959329,1.0,1492-Conquest-of-Paradise
-0.561029833397,0.945589117828,-0.770507147711,-0.0162351848081,2.0,15-Minutes
0.231732919514,0.571713929488,-1.0278084362,0.168787406787,2.0,17-Again
-0.436280191134,0.858390787166,0.0608297237205,-0.669442563548,1.0,187
0.674529541226,-1.96468235739,0.0970446727892,-1.77032910564,3.0,2001-A-Space-Odyssey
-1.16125442689,1.16897594883,-0.481309831156,0.11236599662,2.0,2012
0.226489206975,0.458996240667,0.708185539124,-0.598063886401,1.0,25th-Hour
-1.07575715554,1.85029911285,-1.88431549909,0.425828539882,2.0,30-Minutes-or-Less
0.322591091165,-0.301101486942,0.486834809559,-0.419982977733,3.0,42
-1.82659480174,2.13685087187,0.325237867906,1.07701898196,2.0,44-Inch-Ches
0.632126427435,0.018391432103,-1.23305816501,2.30550839759,0.0,50-50
1.10740248476,-2.06361546663,1.69412742709,-1.88973127822,3.0,500-Days-of-Summer
-0.259201067548,0.546689655977,-0.704211481553,-1.24635586022,1.0,8MM
-0.246690458513,-0.0580218205209,-0.524403462825,0.274160724473,0.0,9
1.14532595202,-0.204087792577,-0.113628111885,0.531001332426,0.0,A-Few-Good-Men
0.304494407182,0.750513950078,-0.274142892889,-0.11442021893,1.0,A-Serious-Man
-0.653241261627,1.06157547848,-0.30519812527,0.507727760996,2.0,Above-the-Law
-2.21916929478,1.17844019503,0.14700311795,-0.269529769659,1.0,Absolute-Power
0.00321099879142,-0.896873677775,0.780929543839,-0.0909195630106,3.0,"Abyss,-The"
-0.3062889429,-0.316033924859,0.558701151671,-1.29893665088,1.0,Adaptation
0.377947347739,-0.699348755493,0.614638153756,-1.89391873847,3.0,"Addams-Family,-The"
-0.0232668172649,0.626011603978,-0.228280290679,1.0452983308,2.0,"Adjustment-Bureau,-The"
0.318750033845,-2.55353303323,2.06836328769,-1.23430870958,3.0,"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The"
-0.0426721400939,0.0684567674699,-0.128850695274,1.08920939965,0.0,Affliction
0.275639931848,-0.0554501730077,-0.532843781018,0.856996590541,0.0,After-School-Specia
-1.39608018837,-0.0389801542533,0.454063615447,0.834091416744,1.0,After.Life
0.43698342845,-0.642986952483,-0.701025626759,-0.455639807179,0.0,Agnes-of-God
-0.791552325434,-0.364752137988,0.511863565229,0.538688694508,1.0,Airplane-2-The-Seque
0.299994562758,-1.25021700304,0.834124059915,1.18043905724,0.0,Airplane
-1.62471225511,0.656296477982,2.19208633085,-0.674483896819,1.0,Aladdin
0.201144862924,-0.662171423287,0.383262715205,-0.307077336751,3.0,Ali
-2.47510830524,1.80803046822,0.589750580335,0.270985089961,1.0,Alien-3
2.01528687019,-0.843805848398,0.268869132314,-1.28252988989,3.0,Alien-Nation
-1.66942172233,-0.0710366192849,0.475710354602,0.437470007242,1.0,Alien-Resurrection
0.410478383113,-0.518290847089,-1.36243729185,1.85907242819,0.0,Alien-vs.-Predator
0.0607542469822,-0.854565036274,0.353373588935,1.00587515922,0.0,Alien
0.96801033428,-0.119014807308,-1.06924588368,1.19619079417,0.0,Aliens
0.488357474619,-0.314657814807,-0.459616235625,0.503359313895,0.0,All-About-Eve
-0.403949163385,0.031272363615,-0.226164851719,0.395003602615,1.0,All-About-Steve
-0.729557105563,1.00937416628,-2.24300073336,1.05805554516,2.0,All-the-King's-Men
0.745939646675,-0.763744664459,0.485471026082,-0.724958133322,3.0,All-the-President's-Men
-0.352037684789,0.31161129324,-0.0519783909924,0.0626201836905,1.0,Alone-in-the-Dark
1.04283493561,-0.8600451851,0.343469860811,-1.04866378691,3.0,Amadeus
-0.55266430264,0.13590977431,0.560012700312,0.806228383173,1.0,Amelia
0.724792381551,-0.272290754443,-0.29989278642,0.0692726644546,0.0,"American,-The"
1.0090950394,0.293357953975,-1.33616070784,0.108968000921,0.0,American-Beauty
0.768509699191,0.091179617597,0.384811428405,-1.05278723049,3.0,American-Gangster
-0.645010396307,-0.396082716767,0.768408254161,-1.11019642129,1.0,American-Graffiti
-0.396667697063,0.508694923421,-0.734274115246,0.930876592482,2.0,American-History-X
-0.195062431589,-0.18561013575,0.114235274469,-1.74869624574,1.0,American-Hustle
-0.822854449551,0.330429685761,-0.630865283364,0.0125605845553,1.0,American-Madness
-0.043280347205,0.601573941365,0.108348675428,-0.180640935405,1.0,American-Outlaws
-0.710128358898,2.09426964913,-2.01040375011,1.21050324627,2.0,American-Pie
-0.524664920155,0.0491322613524,0.010514891113,-0.230209618224,1.0,"American-President,-The"
0.416573015049,-0.596137985704,0.367407280803,0.145112154576,0.0,American-Psycho
-1.0143252286,-0.451098820596,0.549639356242,-0.0939727733887,1.0,American-Shaolin-King-of-Kickboxers-II
2.4250264232,-0.780783029324,-0.411994190637,0.318275589494,0.0,American-Splendor
-0.416141897662,0.244611364822,-0.123177010114,-0.36618135375,1.0,American-Werewolf-in-London
-1.42006006072,-2.04723278745,1.25436523657,0.865245034578,3.0,"Amityville-Asylum,-The"
