title,rating,mpaa
Bad-Day-at-Black-Rock,7.8,
Bad-Dreams,5.5,
Bad-Lieutenan,7.1,"Rated NC-17 for sexual violence, strong sexual situations & dialogue, graphic drug use"
Bad-Santa,5.5,"Rated R for crude sexual content and language throughout, and some graphic nudity"
Bad-Teacher,5.7,"Rated R for sexual content, nudity, language and some drug use"
Badlands,8.1,
Bamboozled,6.5,Rated R for strong language and some violence
Barry-Lyndon,8.1,
Barton-Fink,7.7,Rated R for language and some scenes of violence
Basic-Instinc,6.9,"Rated R for strong violence and sensuality, and for drug use and language"
Basic,6.5,Rated R for violence and language
Basquia,6.9,Rated R for drug use and strong language
Batman-2,7.6,
Batman,7.6,
Battle-Los-Angeles,5.8,"Rated PG-13 for sustained and intense sequences of war violence and destruction, and for language"
"Battle-of-Algiers,-The",8.1,
"Battle-of-Shaker-Heights,-The",6.1,Rated PG-13 for language and some drug references
Bean,6.4,Rated PG-13 for moments of risque humor
Beasts-of-the-Southern-Wild,7.3,"Rated PG-13 for thematic material including child imperilment, some disturbing images, language and brief sensuality"
Beavis-and-Butt-head-Do-America,6.8,"Rated PG-13 for continuous crude sex-related humor and language, and for a drug-related scene"
Beginners,7.2,Rated R for language and some sexual content
Being-Human,7.8,
Being-John-Malkovic,7.8,Rated R for language and sexuality
Being-There,8.0,
"Believer,-The",7.2,"Rated R for strong violence, language and some sexual content"
Beloved,5.9,"Rated R for violent images, sexuality and nudity"
Benny-&-Joon,7.2,"Rated PG for theme, a scene of mild sensuality and one use of harsh language"
"Best-Exotic-Marigold-Hotel,-The",7.3,Rated PG-13 for sexual content and language
"Big-Blue,-The",7.6,
Big-Fis,8.0,"Rated PG-13 for a fight scene, some images of nudity and a suggestive reference"
"Big-Lebowski,-The",8.2,"Rated R for pervasive strong language, drug content, sexuality and brief violence"
"Big-White,-The",6.4,Rated R for language including sexual references and some violence
Big,7.3,
"Birds,-The",7.7,
Birthday-Gir,6.1,Rated R for sexuality and language
"Black-Dahlia,-The",5.6,"Rated R for strong violence, some grisly images, sexual content and language"
Black-Rain,6.6,
Black-Snake-Moan,7.0,"Rated R for strong sexual content, language, some violence and drug use"
Black-Swan,8.0,"Rated R for strong sexual content, disturbing violent images, language and some drug use"
Blade-Runner,8.2,Rated R for violence and brief nudity (Definitive Cut)
Blade-Trinity,5.9,"Rated R for strong pervasive violence and language, and some sexual content"
Blade,7.1,"Rated R for strong, pervasive vampire violence and gore, language, and brief sexuality"
"Blast-from-the-Past,-The",6.6,"Rated PG-13 for brief language, sex and drug references"
"Blind-Side,-The",7.7,"Rated PG-13 for one scene involving brief violence, drug and sexual references"
