title,rating,mpaa
Hellboy,6.8,Rated PG-13 for sci-fi action violence and frightening images
Hellraiser-3-Hell-on-Ear,5.4,"Rated R for strong violence and sexuality, and for language"
Hellraiser-Deader,4.6,"Rated R for strong graphic violence, sexual content, language and some drug use"
Hellraiser-Hellseeker,5.1,"Rated R for violence, sexuality and language"
Hellraiser,7.0,
"Help,-The",8.1,Rated PG-13 for thematic material
Henry's-Crime,6.0,Rated R for language
Henry-Foo,7.3,"Rated R for strong sexuality, violence and language"
Hesher,7.1,"Rated R for disturbing violent behavior, sexual content including graphic dialogue, pervasive language, and drug content - some in the presence of a child"
High-Fidelity,7.5,Rated R for language and some sexuality
Highlander-Endgame,4.6,Rated R for violence and some strong sexuality
Highlander,7.2,"Rated R for strong action violence, a scene of sexuality and some language"
"Hills-Have-Eyes,-The",6.4,"Rated R for strong gruesome violence and terror throughout, and for language (edited for re-rating)"
His-Girl-Friday,8.0,
Hitchcock,6.8,"Rated PG-13 for some violent images, sexual content and thematic material"
"Hitchhiker's-Guide-to-the-Galaxy,-The",6.8,"Rated PG for thematic elements, action and mild language"
Hollow-Man,5.7,"Rated R for strong violence, language and some sexuality/nudity"
Honeydripper,6.8,Rated PG-13 for brief violence and some suggestive material
Horrible-Bosses,6.3,Rated R for strong crude sexual content and language throughout
"Horse-Whisperer,-The",6.6,Rated PG-13 for a disturbing accident scene
"Hospital,-The",6.8,
Hostage,6.6,"Rated R for strong graphic violence, language and some drug use"
Hot-Tub-Time-Machine,6.4,"Rated R for strong crude and sexual content, nudity, drug use and pervasive language"
Hotel-Rwanda,8.1,"Rated PG-13 on appeal for violence, disturbing images and brief strong language (re-rating on appeal)"
House-of-1000-Corpses,6.0,"Rated R for strong sadistic violence/gore, sexuality and language"
How-to-Lose-Friends-&-Alienate-People,6.5,"Rated R for language, some graphic nudity and brief drug material"
How-to-Train-Your-Dragon-2,7.9,Rated PG for adventure action and some mild rude  humor
How-to-Train-Your-Dragon,8.2,"Rated PG for sequences of intense action and some scary images, and brief mild language"
Hudson-Hawk,5.7,Rated R for language
"Hudsucker-Proxy,-The",7.3,Rated PG for mild language and thematic elements
Human-Nature,6.4,Rated R for sexuality/nudity and language
"Hunt-for-Red-October,-The",7.6,
I'll-Do-Anything,5.6,Rated PG-13 for sexual language and situations (edited for re-rating)
"I,-Robo",8.7,
I-Am-Number-Four,6.1,"Rated PG-13 for intense sequences of violence and action, and for language"
I-am-Sa,7.6,Rated PG-13 for language
I-Love-You-Phillip-Morris,6.6,"Rated R for sexual content including strong dialogue, and language"
I-Spit-on-Your-Grave,6.3,"Rated R for pervasive strong sadistic brutal violence, rape and torture, nudity and language"
I-Still-Know-What-You-Did-Last-Summer,4.6,"Rated R for intense terror violence and gore, strong language and some drug use"
"Ice-Storm,-The",7.5,"Rated R for sexuality and drug use, including scenes involving children, and for language"
"Ides-of-March,-The",7.1,Rated R for pervasive language
"Imaginarium-of-Doctor-Parnassus,-The",6.8,"Rated PG-13 for violent images, some sensuality, language and smoking"
In-the-Bedroo,7.5,Rated R for some violence and language
In-the-Loop,7.5,
Inception,8.8,Rated PG-13 for sequences of violence and action throughout
"Incredibles,-The",8.0,Rated PG for action violence (certificate 39772) (on print)
Indiana-Jones-and-the-Last-Crusade,8.3,
Indiana-Jones-and-the-Raiders-of-the-Lost-Ark,7.4,
Indiana-Jones-and-the-Temple-of-Doo,7.6,
Indiana-Jones-IV,,
"Informant,-The",6.5,Rated R for language
Inglourious-Basterds,8.3,"Rated R for strong graphic violence, language and brief sexuality"
"Insider,-The",7.9,Rated R for language
Insidious,6.8,"Rated PG-13 for thematic material, violence, terror and frightening images, and brief strong language"
Insomnia,7.2,"Rated R for language, some violence and brief nudity"
Interstellar,8.6,Rated PG-13 for some intense perilous action and brief strong language. (Approved No. 49218)
Interview-with-the-Vampire,,
Into-the-Wild,8.2,Rated R for language and some nudity
Intolerable-Cruelty,6.3,"Rated PG-13 for sexual content, language and brief violence"
Inventing-the-Abbotts,6.4,Rated R for sexuality and language
"Invention-of-Lying,-The",6.4,Rated PG-13 for language including some sexual material and a drug reference
Invictus,7.4,Rated PG-13 for brief strong language
"Iron-Lady,-The",6.4,Rated PG-13 for some violent images and brief nudity
"Island,-The",,"Rated PG-13 for intense sequences of sci-fi violence and action, and for brief strong language."
It's-a-Wonderful-Life,8.6,"Rated PG for thematic elements, smoking and some violence (2012)"
It's-Complicated,6.6,Rated R for some drug content and sexuality
It-Happened-One-Nig,8.2,
"Italian-Job,-The",7.0,Rated PG-13 for violence and some language
"Jacket,-The",7.1,"Rated R for violence, language and brief sexuality/nudity"
Jackie-Brown,7.5,"Rated R for strong language, some violence, drug use and sexuality"
Jacob's-Ladder,7.5,
Jane-Eyre,7.4,Rated PG-13 for some thematic elements including a nude image and brief violent content
Jason-X,4.4,"Rated R for strong horror violence, language and some sexuality"
Jaws-2,5.7,
Jaws,8.0,
Jay-and-Silent-Bob-Strike-Back,6.9,"Rated R for nonstop crude and sexual humor, pervasive strong language, and drug content"
Jennifer's-Body,5.1,"Rated R for sexuality, bloody violence, language and brief drug use"
Jennifer-Eig,5.1,"Rated R for sexuality, bloody violence, language and brief drug use"
Jerry-Maguire,7.3,Rated R for language and sexuality
Jeux-Interdits,,
JFK,8.0,Rated R for language
Jimmy-and-Judy,6.2,"Rated R for strong sexuality, nudity, violence, drug content and language"
John-Q,7.0,"Rated PG-13 for violence, language and intense thematic elements"
Judge-Dredd,5.5,Rated R for continuous violent action
Juno,7.5,"Rated PG-13 for mature thematic material, sexual content and language"
Jurassic-Park-III,5.9,Rated PG-13 for intense sci-fi terror and violence
Jurassic-Park-The-Lost-World,6.5,Rated PG-13 for intense sci-fi terror and violence
Jurassic-Park,8.1,Rated PG-13 for intense science fiction terror
Kafka,7.0,
Kalifornia,6.7,"Rated R for strong violence, and for sexuality and language"
Kate-&-Leopold,6.4,Rated PG-13 for brief strong language
"Kids-Are-All-Right,-The",7.1,"Rated R for strong sexual content, nudity, language and some teen drug and alcohol use"
Kids,7.0,
Kill-Bill-Volume-1-&-2,7.4,
Killing-Zoe,6.5,"Rated R for strong violence and language, plentiful drug use and a sex scene"
"King's-Speech,-The",8.0,Rated R for some language
King-Kong,8.0,
"King-of-Comedy,-The",7.3,
"Kingdom,-The",8.4,
Klute,7.2,
Knocked-Up,7.0,"Rated R for sexual content, drug use and language"
Kramer-vs-Kramer,7.8,
Kundun,7.0,Rated PG-13 for violent images
Kung-Fu-Panda,7.2,Rated PG for martial arts action and some mild rude humor
L.A.-Confidentia,8.3,"Rated R for strong violence and language, and for sexuality"
Labor-of-Love,,
Labyrin,6.8,"Rated PG-13 for thematic elements and intense sequences of sci-fi violence and action, including some disturbing images"
"Ladykillers,-The",6.2,Rated R for language including sexual references
Lake-Placid,5.6,"Rated R for violent creature attacks and related gore, and for language"
Land-of-the-Dead,6.2,"Rated R for pervasive strong violence and gore, language, brief sexuality and some drug use"
Larry-Crowne,6.1,Rated PG-13 for brief strong language and some sexual content
"Last-Boy-Scout,-The",6.9,Rated R for graphic violence and very strong language
Last-Chance-Harvey,6.7,Rated PG-13 for brief strong language
"Last-Flight,-The",5.6,
"Last-of-the-Mohicans,-The",7.8,Rated R for violence
"Last-Samurai,-The",7.7,Rated R for strong violence and battle sequences
"Last-Station,-The",7.0,Rated R for a scene of sexuality/nudity
Last-Tango-in-Paris,7.1,Rated NC-17 for some explicit sexual content (re-rating) (1997)
Law-Abiding-Citizen,7.4,"Rated R for strong bloody brutal violence and torture, a scene of rape, and pervasive language"
Le-Diable-par-la-Queue,6.8,
Legally-Blonde,6.2,Rated PG-13 for language and sexual references
Legend,7.0,"Rated R for strong violence, language throughout, some sexual and drug material"
Legion,,
Les-Miserables,7.6,"Rated PG-13 for suggestive and sexual material, violence and thematic elements"
Les-Tontons-Flingueurs,,
Leviathan,7.6,Rated R for language and some sexuality/graphic nudity
Liar-Liar,6.8,Rated PG-13 for sex related humor and language
"Life-of-David-Gale,-The",7.6,"Rated R for violent images, nudity, language and sexuality"
Life-of-Pi,7.9,"Rated PG for emotional thematic content throughout, and some scary action sequences and peril"
Life,,
Light-Sleeper,6.8,"Rated R for strong language and drug content, and for violence and a scene of sensuality"
"Limey,-The",7.1,Rated R for violence and language
Limitless,7.8,
"Lincoln-Lawyer,-The",7.3,"Rated R for some violence, sexual content and language"
Lincoln,7.4,"Rated PG-13 for an intense scene of war violence, some images of carnage and brief strong language"
Little-Athens,5.6,"Rated R for drug and sexual content, pervasive language and some violence"
"Little-Mermaid,-The",7.6,
Little-Nicky,5.3,"Rated PG-13 for crude sexual humor, some drug content, language and thematic material"
Living-in-Oblivion,7.6,Rated R for strong language
"Lock,-Stock-and-Two-Smoking-Barrels",8.2,"Rated R for strong violence, pervasive language, sexuality and drug content"
Logan's-Run,6.8,
Lone-Star,,
"Long-Kiss-Goodnight,-The",6.7,"Rated R for a substantial amount of strong bloody violence, and for strong language"
Looper,7.4,"Rated R for strong violence, language, some sexuality/nudity and drug content"
Lord-of-Illusions,6.0,"Rated R for strong violence and gore, and for language and sexuality"
"Lord-of-the-Rings-Fellowship-of-the-Ring,-The",8.8,Rated PG-13 for epic battle sequences and some scary images
Lord-of-the-Rings-Return-of-the-King,8.9,Rated PG-13 for intense epic battle sequences and frightening images
Lord-of-the-Rings-The-Two-Towers,8.7,Rated PG-13 for epic battle sequences and scary images
Lord-of-War,7.6,"Rated R for strong violence, drug use, language and sexuality"
"Losers,-The",6.4,"Rated PG-13 for sequences of intense action and violence, a scene of sensuality and language"
Lost-Highway,7.6,"Rated R for bizarre violent and sexual content, and for strong language"
Lost-Horizon,7.8,
Lost-in-Space,5.1,Rated PG-13 for some intense sci-fi action
Lost-in-Translation,7.8,Rated R for some sexual content
Love-and-Basketba,,
Machete,6.7,"Rated R for strong bloody violence throughout, language, some sexual content and nudity"
Machine-Gun-Preacher,6.8,"Rated R for violent content including disturbing images, language, some drug use and a scene of sexuality"
Mad-Max-2-The-Road-Warrior,7.9,
Made,6.4,"Rated R for pervasive language, some drug use and sexuality"
Magnolia,8.0,"Rated R for strong language, drug use, sexuality and some violence"
"Majestic,-The-(The-Bijou)",6.9,Rated PG for language and mild thematic elements
Major-League,7.2,
Malcolm-X,7.7,"Rated PG-13 for a scene of violence, and for drugs and some language"
Malibu's-Most-Wanted,5.1,"Rated PG-13 for sexual humor, language and violence"
Man-in-the-Iron-Mask,6.5,Rated PG-13 for sequences of violence and some sensuality/nudity
Man-On-Fire,7.7,Rated R for language and strong violence
Man-on-the-Moon,7.4,Rated R for language and brief sexuality/nudity
Man-Trouble,4.6,Rated PG-13 for language and sensuality (MPAA certificate # 31574)
"Man-Who-Knew-Too-Much,-The",7.5,
"Man-Who-Wasn't-There,-The",7.6,Rated R for a scene of violence
"Manchurian-Candidate,-The",6.6,Rated R for violence and some language
Manhattan-Murder-Mystery,7.4,"Rated PG for mild language, and for elements of violence in a comic murder mystery"
Manhunter,7.2,
Margare,6.5,"Rated R for strong language, sexuality, some drug use and disturbing images"
Margin-Ca,7.1,Rated R for language
Margot-at-the-Wedding,6.1,Rated R for sexual content and language
"Mariachi,-E",6.9,Rated R for strong violence (Approval No. 31967)
Marley-&-Me,7.1,"Rated PG for thematic material, some suggestive content and language"
Martha-Marcy-May-Marlene,6.9,"Rated R for disturbing violent and sexual content, nudity and language"
Marty,7.7,
"Mask,-The",6.9,Rated PG-13 for some stylized violence
"Master,-The",5.8,"Rated PG-13 for crude and sexual humor, some language and violence"
Master-and-Commander,7.4,"Rated PG-13 for intense battle sequences, related images, and brief language"
"Matrix,-The",8.7,Rated R for sci-fi violence and brief language
"Matrix-Reloaded,-The",7.2,Rated R for sci-fi violence and some sexuality
Max-Payne,5.4,"Rated PG-13 for violence including intense shooting sequences, drug content, some sexuality and brief strong language"
Mean-Streets,7.4,
"Mechanic,-The",6.6,"Rated R for strong brutal violence throughout, language, some sexual content and nudity"
Meet-Joe-Black,7.1,"Rated PG-13 for an accident scene, some sexuality and brief strong language"
Meet-John-Doe,7.7,
Megamind,7.3,Rated PG for action and some language
Memento,8.5,"Rated R for violence, language and some drug content"
Men-in-Black-3,6.8,"Rated PG-13 for sci-fi action violence, and brief suggestive content"
Men-in-Black,6.8,"Rated PG-13 for sci-fi action violence, and brief suggestive content"
"Men-Who-Stare-at-Goats,-The",6.2,"Rated R for language, some drug content and brief nudity"
Metro,5.5,Rated R for strong violence and language
Miami-Vice,7.5,
Midnight-Cowboy,7.9,
Midnight-Express,7.7,
Midnight-in-Paris,7.7,Rated PG-13 for some sexual references and smoking
Mighty-Morphin-Power-Rangers-The-Movie,6.4,
Milk,7.6,"Rated R for language, some sexual content and brief violence"
Miller's-Crossing,7.9,
Mimic,5.9,Rated R for terror/violence and language
Mini's-First-Time,5.9,"Rated R for strong sexual content, language, drug use and a scene of violence"
"Miracle-Worker,-The",8.1,
Mirrors,6.2,"Rated R for strong violence, disturbing images, language and brief nudity"
Misery,7.8,
Mission-Impossible-II,6.1,Rated PG-13 for intense sequences of violent action and some sensuality
Mission-Impossible,7.1,Rated PG-13 for some intense action violence
Mission-to-Mars,5.6,Rated PG for sci-fi violence and mild language
Moneyba,7.6,Rated PG-13 for some strong language
Monkeybone,4.7,Rated PG-13 for crude humor and some nudity
Monte-Carlo,6.9,
Moon,7.9,Rated R for language
Moonrise-Kingdo,7.8,Rated PG-13 for sexual content and smoking
Moonstruck,7.1,
Mr-Blandings-Builds-His-Dream-House,7.4,
Mr-Brooks,7.4,"Rated R for strong bloody violence, some graphic sexual content, nudity and language"
Mr-Deeds-Goes-to-Town,8.0,
Mrs.-Brown,7.3,"Rated PG for a beating, language and brief nudity"
Mud,7.4,"Rated PG-13 for some violence, sexual references, language, thematic elements and smoking"
Mulan,7.5,
Mulholland-Drive,8.0,"Rated R for violence, language and some strong sexuality"
Mumford,6.9,"Rated R for sex-related images, language and drug content (as No. 36579)"
"Mummy,-The",,
Music-of-the-Hear,6.8,Rated PG for brief mild language and sensuality
Mute-Witness,6.8,Rated R for violence and a strong scene combining sex and violence
My-Best-Friend's-Wedding,6.3,Rated PG-13 on appeal for one use of strong language and brief sex-related humor
My-Gir,6.8,
My-Mother-Dreams-the-Satan's-Disciples-in-New-York,7.2,
My-Week-with-Marilyn,7.0,Rated R for some language
Napoleon-Dynamite,6.9,Rated PG for thematic elements and language (certificate no. 40773)
Nashville,7.7,
Natural-Born-Killers,7.3,"Rated R for extreme violence and graphic carnage, for shocking images, and for strong language and sexuality"
Never-Been-Kissed,6.0,Rated PG-13 for sex-related material and some drug content
New-York-Minute,4.8,Rated PG for mild sensuality and thematic elements
Newsies,6.9,Rated PG for mild violence
Nex,7.4,"Rated PG-13 for violence, drug material, language, some sexuality and thematic elements"
Next-Friday,6.1,"Rated R for strong language, drug use and sexual content"
"Next-Three-Days,-The",7.4,"Rated PG-13 for violence, drug material, language, some sexuality and thematic elements"
Ni-vu-ni-connu,6.3,
Nick-of-Time,6.3,Rated R for violence and language
Night-Time-(The-Poltergeist-Treatment),,
Nightbreed,6.5,
"Nightmare-Before-Christmas,-The",8.0,Rated PG for some scary images
"Nightmare-on-Elm-Street,-A",7.5,
Nightmare-on-Elm-Street-The-Final-Chapter,,
Nine,5.8,Rated PG-13 for sexual content and smoking
"Nines,-The",8.3,
Ninja-Assassin,6.4,"Rated R for strong bloody stylized violence throughout, and language"
Ninotchka,8.0,
No-Strings-Attached,6.2,"Rated R for sexual content, language and some drug material"
Notting-Hi,4.6,
O-Brother-Where-Art-Thou%3f,7.8,Rated PG-13 for some violence and language
Oblivion,7.0,"Rated PG-13 for sci-fi action violence, brief strong language, and some sensuality/nudity"
Observe-and-Repor,5.8,"Rated R for pervasive language, graphic nudity, drug use, sexual content and violence"
Obsessed,4.9,"Rated PG-13 for sexual material including some suggestive dialogue, some violence and thematic content"
Ocean's-Eleven,7.8,Rated PG-13 for some language and sexual content
Ocean's-Twelve,6.5,Rated PG-13 for language
Office-Space,7.8,Rated R for language and brief sexuality (Approved No. 36485)
One-Flew-Over-the-Cuckoo's-Nes,8.7,
Only-God-Forgives,5.7,"Rated R for strong bloody violence including grisly images, sexual content and language"
Ordinary-People,7.8,
Orphan,7.0,"Rated R for disturbing violent content, some sexuality and language"
"Other-Boleyn-Girl,-The",6.7,"Rated PG-13 for mature thematic elements, sexual content and some violent images"
Out-of-Sig,7.0,Rated R for language and some strong violence
"Pacifier,-The",5.5,"Rated PG for action violence, language and rude humor"
Pandoru,6.8,Rated R for strong horror violence and language
Panic-Roo,6.8,Rated R for violence and language
Papadopoulos-&-Sons,6.1,
ParaNorman,7.0,"Rated PG for scary action and images, thematic elements, some rude humor and language"
Paria,6.2,
"Passion-of-Joan-of-Arc,-The",8.3,
"Patriot,-The",7.6,"Rated R for violence, realistically graphic injury images, language throughout and some drug use"
Pau,,
Peeping-To,7.7,
Peggy-Sue-Got-Married,6.3,
Perfect-Creature,5.5,"Rated R for violence and gore, and for language"
"Perfect-World,-A",7.5,"Rated PG-13 for violence, sexual content and language (re-rating on appeal)"
"Perks-of-Being-a-Wallflower,-The",8.0,"Rated PG-13 on appeal for mature thematic material, drug and alcohol use, sexual content including references, and a fight - all involving teens"
Pet-Sematary-II,4.7,"Rated R for strong horror violence, and for sexuality and language"
Pet-Sematary,6.6,
Petulia,7.3,
Philadelphia,8.8,
Phone-Boo,7.1,Rated R for pervasive language and some violence
Pi,7.5,Rated R for language and some disturbing images
"Pianist,-The",8.5,Rated R for violence and brief strong language
"Piano,-The",7.6,Rated R for moments of extremely graphic sexuality
Pineapple-Express,7.0,"Rated R for pervasive language, drug use, sexual references and violence"
Pirates-of-the-Caribbean-Dead-Man's-Ches,7.3,"Rated PG-13 for intense sequences of adventure violence, including frightening images"
Pirates-of-the-Caribbean,,
Pitch-Black,8.0,
Platinum-Blonde,6.9,
Pleasantville,7.5,"Rated PG-13 for some thematic elements emphasizing sexuality, and for language"
Point-Break,5.3,"Rated PG-13 for violence, thematic material involving perilous activity, some sexuality, language and drug material"
Pokemon-Mewtwo-Returns,6.5,
"Postman,-The",6.0,Rated R for violence and some sexuality
"Power-of-One,-The",7.2,Rated PG-13 for some areas of strong violence
Precious,7.3,"Rated R for child abuse including sexual assault, and pervasive language"
Predator,,
Pretty-Woman-(final-script),,
Pretty-Woman,6.9,Rated R for sexuality and some language
Pride-and-Prejudice,9.0,
Pries,8.8,"Rated R for disturbing violent content and images, sexual content including an assault, graphic nudity, and language"
"Princess-Bride,-The",8.1,
"Private-Life-of-Sherlock-Holmes,-The",7.2,
"Producer,-The",6.4,Rated PG-13 for sexual humor and references
"Program,-The",6.5,Rated R for language
Prom-Nig,3.9,"Rated PG-13 for violence and terror, some sexual material, underage drinking, and language"
Prometheus,7.0,"Rated R for sci-fi violence including some intense images, and brief language"
"Prophecy,-The",5.4,
"Proposal,-The",6.7,"Rated PG-13 for sexual content, nudity and language"
Psycho,8.5,
Public-Enemies,7.0,Rated R for gangster violence and some language
Pulp-Fiction,8.9,"Rated R for strong graphic violence and drug use, pervasive strong language and some sexuality"
Punch-Drunk-Love,7.3,Rated R for strong language including a scene of sexual dialogue
Purple-Rain,6.5,
Quantum-Projec,6.0,
"Queen,-The",7.2,
Queen-of-the-Damned,5.3,Rated R for vampire violence
Rachel-Getting-Married,6.7,Rated R for language and brief sexuality
Raging-Bu,8.2,
Raising-Arizona,7.4,
Rambling-Rose,6.7,Rated R for sensuality
"Reader,-The",7.6,Rated R for some scenes of sexuality and nudity
Real-Genius,7.0,
Rear-Window,8.5,
Rebel-Without-A-Cause,7.8,Rated PG-13 for some violence and thematic elements (DVD/Blu-Ray Rating)
Red-Plane,5.7,"Rated PG-13 for sci-fi violence, brief nudity and language"
Red-Riding-Hood,5.4,"Rated PG-13 for violence and creature terror, and some sensuality"
Reindeer-Games,5.7,"Rated R for strong violence, language and sexuality"
"Relic,-The",5.7,"Rated R for monster violence and gore, and for language"
Remember-Me,7.2,"Rated PG-13 for violence, sexual content, language and smoking"
"Replacements,-The",6.5,Rated PG-13 for some crude sexual humor and language
Repo-Man,6.9,
"Rescuers-Down-Under,-The",6.9,
Reservoir-Dogs,8.4,Rated R for strong violence and language (certficate #31489)
"Revenant,-The",8.0,"Rated R for strong frontier combat and violence including gory images, a sexual assault, language and brief nudity"
Revolutionary-Road,7.3,Rated R for language and some sexual content/nudity
Ringu,7.3,
Rise-of-the-Guardians,7.3,Rated PG for thematic elements and some mildly scary action
Rise-of-the-Planet-of-the-Apes,7.6,Rated PG-13 for intense and frightening sequences of action and violence
RKO-281,7.1,Rated R for language and some graphic sexual images
"Road,-The",6.5,"Rated R for strong sexual content, crude humor, language and drug use"
Robin-Hood-Prince-of-Thieves,6.9,
"Rock,-The",,
RocknRolla,7.3,"Rated R for pervasive language, violence, drug use and brief sexuality"
"Rocky-Horror-Picture-Show,-The",7.4,
Rocky,8.1,
Romeo-&-Julie,6.8,Rated PG-13 for scenes of contemporary violence and some sensuality
Ronin,7.3,Rated R for strong violence and some language
"Roommate,-The",8.8,
Roughshod,6.7,
"Ruins,-The",5.9,"Rated R for strong violence and gruesome images, language, some sexuality and nudity"
Runaway-Bride,5.5,Rated PG for language and some suggestive dialogue
Rus,6.4,
Rush-Hour-2,6.6,"Rated PG-13 for action violence, language and some sexual material"
Rush-Hour,,
Rushmore,7.7,Rated R for language and brief nudity
Rust-and-Bone,7.5,"Rated R for strong sexual content, brief graphic nudity, some violence and language"
S.-Darko,3.6,"Rated R for language, some violent content and brief drug use"
"Saint,-The",6.4,Rated R for some violence
"Salton-Sea,-The",7.2,"Rated R for strong violence, drug use, language and some sexuality"
"Sandlot-Kids,-The",7.8,Rated PG for some language and kids chewing tobacco (certificate no. 31898)
Save-the-Last-Dance,6.2,"Rated PG-13 for violence, sexual content, language and brief drug references"
Saving-Mr.-Banks,7.5,Rated PG-13 for thematic elements including some unsettling images
Saving-Private-Ryan,8.6,"Rated R for intense prolonged realistically graphic sequences of war violence, and for language"
Saw,7.7,Rated R for strong grisly violence and language (edited for re-rating)
Scarface,8.3,
Schindler's-Lis,8.9,"Rated R for language, some sexuality and actuality violence"
Scott-Pilgrim-vs-the-World,7.5,"Rated PG-13 for stylized violence, sexual content, language and drug references"
Screa,7.2,
Scream-2,6.1,Rated R for language and strong bloody violence
Scream-3,5.5,Rated R for strong horror violence and language
Se7en,8.6,"Rated R for grisly afterviews of horrific and bizarre killings, and for strong language"
"Searchers,-The",8.0,
Semi-Pro,5.8,Rated R for language and some sexual content
Sense-and-Sensibility,7.7,Rated PG for mild thematic elements
Serenity,8.0,"Rated PG-13 for sequences of intense violence and action, and some sexual references"
Serial-Mo,6.7,"Rated R for satirical presentation of strong violence, vulgar language, and sexual episodes"
"Sessions,-The",7.2,Rated R for strong sexuality including graphic nudity and frank dialogue
"Seventh-Seal,-The",8.2,
"Sex,-Lies-and-Videotape",7.2,
Sex-and-the-City,7.0,
Sexual-Life,5.1,"Rated R for strong sexuality including dialogue, and for language"
Shakespeare-in-Love,7.2,Rated R for sexuality
Shallow-Grave,7.4,"Rated R for scenes of strong grisly violence, and for some language and nudity"
Shame,9.0,
"Shawshank-Redemption,-The",9.3,Rated R for language and prison violence (certificate 33087)
She's-Out-of-My-League,6.4,Rated R for language and sexual content
Sherlock-Holmes,7.6,"Rated PG-13 for intense sequences of violence and action, some startling images and a scene of suggestive material"
Shifty,6.5,
"Shining,-The",8.4,
"Shipping-News,-The",6.8,"Rated R for some language, sexuality and disturbing images"
Shivers,6.6,
Shrek-the-Third,6.1,"Rated PG for some crude humor, suggestive content and swashbuckling action"
Shrek,7.9,Rated PG for mild language and some crude humor
Sideways,7.5,"Rated R for language, some strong sexual content and nudity (Approved No. 40894)"
"Siege,-The",7.3,
Signs,6.7,Rated PG-13 for some frightening moments
Silence-of-the-Lambs,8.6,
Silver-Bulle,6.4,
Silver-Linings-Playbook,7.8,Rated R for language and some sexual content/nudity
Simone,6.1,Rated PG-13 for some sensuality
Single-White-Female,6.3,"Rated R for strong sexuality, and for violence and language"
Sister-Ac,6.3,Rated PG for mild violence and language
Six-Degrees-of-Separation,6.9,Rated R for language and some sexuality
Sleepless-in-Seattle,6.8,Rated PG for some language
Sleepy-Hollow,7.5,
Sling-Blade,8.0,"Rated R for strong language, including descriptions of violent and sexual behavior"
Slither,6.5,"Rated R for strong horror violence and gore, and language"
Slumdog-Millionaire,8.0,"Rated R for some violence, disturbing images and language"
Smashed,6.8,"Rated R for alcohol abuse, language, some sexual content and brief drug use"
Smokin'-Aces,6.7,"Rated R for strong bloody violence, pervasive language, some nudity and drug use"
Snatc,8.3,"Rated R for strong violence, language and some nudity"
Snow-Falling-On-Cedars,6.8,"Rated PG-13 for disturbing images, sensuality and brief strong language"
Snow-White-and-the-Huntsman,6.1,"Rated PG-13 for intense sequences of violence and action, and brief sensuality"
So-I-Married-an-Axe-Murderer,6.4,"Rated PG-13 for nudity, language and mock terror"
"Social-Network,-The",7.7,"Rated PG-13 for sexual content, drug and alcohol use and language"
Solaris,8.1,
Soldier,6.0,Rated R for strong violence and brief language
Someone-To-Watch-Over-Me,6.1,
Something's-Gotta-Give,6.7,"Rated PG-13 for sexual content, brief nudity and strong language"
Source-Code,7.5,"Rated PG-13 for some violence including disturbing images, and for language"
South-Park,8.8,
Spanglis,6.4,Rated PG-13 for some sexual content and brief language
Spare-Me,,
Spartan,6.6,Rated R for violence and language
Speed-Racer,7.1,
Sphere,6.0,Rated PG-13 for sci-fi action including some startling images
Spider-Man,7.3,Rated PG-13 for stylized violence and action
St.-Elmo's-Fire,6.3,
Star-Trek-First-Contac,7.6,Rated PG-13 for some sci-fi adventure violence
Star-Trek-Generations,6.6,Rated PG for sci-fi action and some mild language
Star-Trek-II-The-Wrath-of-Khan,7.7,Rated PG for violence and language
Star-Trek-Nemesis,6.4,Rated PG-13 for sci-fi action violence and peril and a scene of sexual content
Star-Trek-The-Motion-Picture,6.4,Rated PG for sci-fi action and mild language (director's cut)
Star-Trek,8.4,
Star-Wars-A-New-Hope,8.7,Rated PG for sci-fi violence and brief mild language
Star-Wars-Attack-of-the-Clones,6.7,Rated PG for sustained sequences of sci-fi action/violence
Star-Wars-Return-of-the-Jedi,,
Star-Wars-Revenge-of-the-Si,7.6,Rated PG-13 for sci-fi violence and some intense images
Star-Wars-The-Empire-Strikes-Back,7.7,
Star-Wars-The-Force-Awakens,8.1,Rated PG-13 for sci-fi action violence
Star-Wars-The-Phantom-Menace,6.5,Rated PG for sci-fi action/violence
Starman,7.0,
Starship-Troopers,7.2,"Rated R for graphic sci-fi violence and gore, and for some language and nudity"
State-and-Main,6.8,Rated R for language and brief sexual images
Station-Wes,6.7,
Stepmo,6.7,Rated PG-13 for language and thematic elements
"Sting,-The",8.3,
Stir-of-Echoes,7.0,"Rated R for violence, sexuality and language"
Storytelling,6.9,"Rated R for strong sexual content, language and some drug use"
Strange-Days,7.2,"Rated R for intense disturbing violence, sexuality and pervasive strong language"
Strangers-on-a-Train,8.1,Rated PG for some violence and tension (re-issue) (1996)
"Stuntman,-The",7.2,
Sugar,7.2,"Rated R for language, some sexuality and brief drug use"
Sunset-Blvd,,
Sunshine-Cleaning,6.9,"Rated R for language, disturbing images, some sexuality and drug use"
Super-8,5.1,
Superbad,7.6,"Rated R for pervasive crude and sexual content, strong language, drinking, some drug use and a fantasy/comic violent image - all involving teens (certificate no. 43293)"
Supergir,6.6,
"Surfer-King,-The",3.9,"Rated PG-13 for some language, brief nudity and a drug reference"
Surrogates,6.3,"Rated PG-13 for intense sequences of violence, disturbing images, language, sexuality and a drug-related scene"
Suspect-Zero,5.9,"Rated R for violent content, language and some nudity"
Sweeney-Todd-The-Demon-Barber-of-Fleet-Stree,7.4,Rated R for graphic bloody violence (cut)
