window_0,window_1,window_2,predicted_cluster,title,delta_happy,gross,year,rating,mpaa,Sci-Fi,Crime,Romance,Animation,Msic,Comedy,War,Horror,nan,Film-Noir,Msical,Reality-TV,Thriller,Western,Mystery,Short,Talk-Show,Drama,Action,History,Family,Adventre,Docmentary,Fantasy,Sport,Biography
0.0607542469822,-0.854565036274,0.353373588935,1.0,Alien,1,78900000.0,1979.0,8.5,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96801033428,-0.119014807308,-1.06924588368,2.0,Aliens,1,85200000.0,1986.0,8.4,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
-0.729557105563,1.00937416628,-2.24300073336,0.0,All-the-King's-Men,1,7221458.0,2006.0,6.2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.352037684789,0.31161129324,-0.0519783909924,3.0,Alone-in-the-Dark,1,5132655.0,2005.0,2.3,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04283493561,-0.8600451851,0.343469860811,1.0,Amadeus,0,51600000.0,1984.0,8.3,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
-0.55266430264,0.13590977431,0.560012700312,3.0,Amelia,1,33201661.0,2001.0,8.4,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0090950394,0.293357953975,-1.33616070784,2.0,American-Beauty,1,130058047.0,1999.0,8.4,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.768509699191,0.091179617597,0.384811428405,2.0,American-Gangster,0,130127620.0,2007.0,7.8,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-0.396667697063,0.508694923421,-0.734274115246,0.0,American-History-X,1,6712241.0,1998.0,8.6,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.195062431589,-0.18561013575,0.114235274469,3.0,American-Hustle,0,150117807.0,2013.0,7.3,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.043280347205,0.601573941365,0.108348675428,3.0,American-Outlaws,0,13264986.0,2001.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-0.710128358898,2.09426964913,-2.01040375011,0.0,American-Pie,1,101736215.0,1999.0,7.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.524664920155,0.0491322613524,0.010514891113,3.0,"American-President,-The",0,65000000.0,1995.0,6.8,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.416573015049,-0.596137985704,0.367407280803,1.0,American-Psycho,1,15047419.0,2000.0,7.6,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.4250264232,-0.780783029324,-0.411994190637,2.0,American-Splendor,1,6003587.0,2003.0,7.5,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2.7064077593,-1.72825907948,0.203850640222,1.0,Amour,0,225377.0,2012.0,7.9,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.43001581176,-0.685602085845,-1.22391140594,2.0,An-Education,1,12574715.0,2009.0,7.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.01164548479,-0.127672895756,0.117670855832,2.0,Analyze-Tha,0,32122249.0,2002.0,5.9,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
