title,gross
Saw,"$55,153,403"
Scarface,"$44,700,000"
Schindler's-Lis,"$96,067,179"
Scott-Pilgrim-vs-the-World,"$31,494,270"
Screa,
Scream-2,"$101,334,374"
Scream-3,"$89,138,076"
Se7en,"$100,125,340"
"Searchers,-The",
Semi-Pro,"$33,472,850"
Sense-and-Sensibility,"$42,700,000"
Serenity,"$25,335,935"
Serial-Mo,"$7,881,335"
"Sessions,-The","$5,997,134"
"Seventh-Seal,-The",
"Sex,-Lies-and-Videotape","$24,741,700"
Sex-and-the-City,
Sexual-Life,
Shakespeare-in-Love,"$100,241,322"
Shallow-Grave,"$2,881,508"
Shame,
"Shawshank-Redemption,-The","$28,341,469"
She's-Out-of-My-League,"$31,584,722"
Sherlock-Holmes,"$209,019,489"
Shifty,
"Shining,-The",
"Shipping-News,-The","$11,405,825"
Shivers,
Shrek-the-Third,"$320,706,665"
Shrek,"$267,652,016"
Sideways,"$71,502,303"
"Siege,-The",
Signs,"$227,965,690"
Silence-of-the-Lambs,"$130,727,000"
Silver-Bulle,
Silver-Linings-Playbook,"$132,088,910"
Simone,"$9,680,913"
Single-White-Female,"$47,922,919"
Sister-Ac,"$139,610,000"
Six-Degrees-of-Separation,"$6,410,676"
Sleepless-in-Seattle,"$126,670,704"
Sleepy-Hollow,
Sling-Blade,"$24,475,416"
Slither,"$7,774,730"
Slumdog-Millionaire,"$141,319,195"
Smashed,"$375,981"
Smokin'-Aces,"$35,635,046"
Snatc,
Snow-Falling-On-Cedars,"$14,378,353"
Snow-White-and-the-Huntsman,"$155,111,815"
So-I-Married-an-Axe-Murderer,"$11,585,483"
"Social-Network,-The","$96,917,897"
Solaris,
Soldier,"$14,567,883"
Someone-To-Watch-Over-Me,"$10,278,549"
Something's-Gotta-Give,"$124,590,960"
Source-Code,"$54,696,902"
South-Park,
Spanglis,"$42,044,321"
Spare-Me,
Spartan,"$4,357,745"
Speed-Racer,
Sphere,"$36,976,367"
Spider-Man,"$403,706,375"
St.-Elmo's-Fire,"$37,800,000"
Star-Trek-First-Contac,"$92,001,027"
Star-Trek-Generations,"$75,668,868"
Star-Trek-II-The-Wrath-of-Khan,"$78,900,000"
Star-Trek-Nemesis,"$43,119,879"
Star-Trek-The-Motion-Picture,"$82,300,000"
Star-Trek,
Star-Wars-A-New-Hope,"$460,935,665"
Star-Wars-Attack-of-the-Clones,"$310,675,583"
Star-Wars-Return-of-the-Jedi,
Star-Wars-Revenge-of-the-Si,"$380,262,555"
Star-Wars-The-Empire-Strikes-Back,
Star-Wars-The-Force-Awakens,"$936,627,416"
Star-Wars-The-Phantom-Menace,"$474,544,677"
Starman,"$28,700,000"
Starship-Troopers,"$54,700,065"
State-and-Main,"$6,920,692"
Station-Wes,
Stepmo,"$91,030,827"
"Sting,-The","$159,600,000"
Stir-of-Echoes,"$21,133,087"
Storytelling,"$912,442"
Strange-Days,"$7,919,000"
Strangers-on-a-Train,
"Stuntman,-The",
Sugar,"$1,081,922"
Sunset-Blvd,
Sunshine-Cleaning,"$12,055,108"
Super-8,
Superbad,"$121,463,226"
Supergir,
"Surfer-King,-The",
Surrogates,"$38,542,418"
Suspect-Zero,"$8,712,564"
Sweeney-Todd-The-Demon-Barber-of-Fleet-Stree,"$52,882,759"
"Sweet-Hereafter,-The","$4,306,697"
Sweet-Smell-of-Success,
Swordfis,"$69,772,969"
"Synecdoche,-New-York","$3,081,925"
Syriana,"$50,815,288"
Take-Shelter,"$1,729,969"
Taking-Lives,"$32,682,342"
"Taking-of-Pelham-One-Two-Three,-The",
Taking-Sides,"$188,952"
"Talented-Mr.-Ripley,-The","$81,292,135"
Tall-in-the-Saddle,
Tamara-Drewe,"$560,101"
Taxi-Driver,
Ted,"$218,628,680"
Terminator-2-Judgement-Day,"$204,843,350"
Terminator-Salvation,"$125,320,003"
Terminator,"$38,400,000"
The-Rage-Carrie-2,"$17,757,087"
Thelma-&-Louise,"$45,361,000"
They,"$12,693,621"
"Thing,-The",
"Things-My-Father-Never-Taught-Me,-The",
Thirteen-Days,"$34,566,746"
This-Boy's-Life,"$4,104,962"
This-is-40,"$67,523,385"
Thor,"$181,015,141"
Three-Kings-(Spoils-of-War),"$60,652,036"
Three-Kings,"$60,652,036"
Three-Men-and-a-Baby,
"Three-Musketeers,-The","$20,315,324"
Thunderbirds,
Thunderhear,"$22,660,758"
Ticker,
Timber-Falls,
"Time-Machine,-The","$50,213,619"
Tin-Cup,"$53,854,588"
Tin-Men,"$25,411,386"
Tinker-Tailor-Soldier-Spy,"$24,104,113"
Titanic,"$658,672,302"
TMNT,"$54,132,596"
To-Sleep-with-Anger,"$1,200,000"
Tombstone,"$56,505,065"
Tomorrow-Never-Dies,"$125,332,007"
Total-Reca,"$58,877,969"
"Tourist,-The","$67,631,157"
Toy-Story,"$191,796,233"
Traffic,"$124,107,476"
Training-Day,"$76,261,036"
Trainspotting,"$16,501,785"
Transformers-The-Movie,"$5,849,647"
Tristan-and-Isolde,"$14,732,623"
TRON-Legacy,"$172,051,787"
TRON,"$33,000,000"
Tropic-Thunder,"$110,416,702"
True-Gri,"$171,031,347"
True-Lies,"$146,282,411"
True-Romance,"$12,281,500"
"Truman-Show,-The","$125,603,360"
Twilig,"$191,449,475"
Twilight-New-Moon,"$296,623,634"
Twin-Peaks,
Twins,"$111,936,400"
Two-For-The-Money,"$22,862,049"
U-Turn,"$6,633,400"
"Ugly-Truth,-The","$88,915,214"
Un-Singe-en-Hiver,
Unbreakable,"$94,999,143"
Under-Fire,"$58,918,501"
Unknown,"$61,094,903"
Up-in-the-Air,"$83,813,460"
Up,"$292,979,556"
V-for-Vendetta,"$70,496,802"
Valkyrie,"$83,077,470"
Vanilla-Sky,"$100,614,858"
"Verdict,-The","$54,000,000"
Very-Bad-Things,"$9,801,782"
"Village,-The","$114,195,633"
Virtuosity,"$24,048,000"
"Visitor,-The","$9,422,422"
Wag-the-Dog,"$43,022,524"
"Walk-to-Remember,-A","$41,227,069"
Walking-Ta,
Wall-E,"$223,806,889"
Wall-Stree,"$116,866,727"
Wall-Street-Money-Never-Sleeps,"$52,474,616"
Wanted,"$134,568,845"
War-Horse,"$79,883,359"
War-of-the-Worlds,"$234,277,056"
Warm-Springs,
Warrior,"$13,651,662"
Watchmen,"$107,503,316"
Water-for-Elephants,"$58,700,247"
"Way-Back,-The","$2,677,401"
We-Own-the-Nig,"$28,563,179"
What-About-Bob%3f,"$63,710,000"
What-Lies-Benea,"$155,370,362"
When-a-Stranger-Calls,"$47,860,214"
While-She-Was-Ou,
"Whistleblower,-The","$1,120,914"
White-Christmas,
White-Jazz,
"White-Ribbon,-The","$2,222,647"
White-Squa,"$10,300,000"
Whiteou,"$10,268,846"
Who's-Your-Daddy,
Who-Framed-Roger-Rabbit%3f,"$154,222,492"
Wild-At-Hear,"$14,560,247"
"Wild-Bunch,-The",
Wild-Hogs,"$168,213,584"
Wild-Things-Diamonds-in-the-Roug,
Wild-Things,"$29,753,944"
Wild-Wild-Wes,"$113,745,408"
Willow,"$57,269,863"
Win-Win,
Wind-Chi,"$20,146"
Withnail-and-I,"$1,544,889"
Witness,"$65,500,000"
"Wizard-of-Oz,-The","$22,202,612"
"Wolf-of-Wall-Street,-The","$116,866,727"
Wonder-Boys,"$19,389,454"
"Woodsman,-The","$42,069"
"World-is-not-Enough,-The","$126,930,660"
"Wrestler,-The","$26,236,603"
"X-Files-Fight-the-Future,-The",
X-Men-Origins-Wolverine,"$179,883,016"
xXx,"$141,204,016"
Year-One,"$43,337,279"
Yes-Man,"$97,680,195"
You-Can-Count-On-Me,"$9,180,275"
Youth-in-Revo,"$15,281,286"
Zero-Dark-Thirty,"$95,720,716"
Zerophilia,"$7,013"
